HCHO_reading,Location,Current_date,Next_date,Month,Year
0.00012976984682244746,Matara,2019-01-01,2019-01-02,1,2019
5.803530712000793e-06,Matara,2019-01-02,2019-01-03,1,2019
0.0002362357772653,Matara,2019-01-03,2019-01-04,1,2019
6.437245753953118e-05,Matara,2019-01-04,2019-01-05,1,2019
5.349707092885017e-05,Matara,2019-01-05,2019-01-06,1,2019
0.0001315594859189,Matara,2019-01-06,2019-01-07,1,2019
6.269859896976347e-05,Matara,2019-01-07,2019-01-08,1,2019
2.298263979970634e-05,Matara,2019-01-08,2019-01-09,1,2019
0.00012976984682244746,Matara,2019-01-09,2019-01-10,1,2019
7.190247186715247e-05,Matara,2019-01-10,2019-01-11,1,2019
0.0001542091441034,Matara,2019-01-11,2019-01-12,1,2019
0.0001406986305217,Matara,2019-01-12,2019-01-13,1,2019
0.00012976984682244746,Matara,2019-01-13,2019-01-14,1,2019
0.00012976984682244746,Matara,2019-01-14,2019-01-15,1,2019
7.187311712186784e-05,Matara,2019-01-15,2019-01-16,1,2019
3.5053075407631695e-05,Matara,2019-01-16,2019-01-17,1,2019
0.0001694853136055,Matara,2019-01-17,2019-01-18,1,2019
0.0003082256948783,Matara,2019-01-18,2019-01-19,1,2019
0.0008997101837438,Matara,2019-01-19,2019-01-20,1,2019
6.0375266285424514e-05,Matara,2019-01-20,2019-01-21,1,2019
0.00013662315724394318,Matara,2019-01-21,2019-01-22,1,2019
3.363791867442001e-05,Matara,2019-01-22,2019-01-23,1,2019
0.0001753175803488,Matara,2019-01-23,2019-01-24,1,2019
5.2793313875356256e-05,Matara,2019-01-24,2019-01-25,1,2019
0.00012976984682244746,Matara,2019-01-25,2019-01-26,1,2019
0.00012976984682244746,Matara,2019-01-26,2019-01-27,1,2019
0.00012976984682244746,Matara,2019-01-27,2019-01-28,1,2019
0.0001586517467092,Matara,2019-01-28,2019-01-29,1,2019
0.0001037720817875,Matara,2019-01-29,2019-01-30,1,2019
0.00012976984682244746,Matara,2019-01-30,2019-01-31,1,2019
4.768084267461017e-05,Matara,2019-01-31,2019-02-01,1,2019
5.617168790830808e-05,Matara,2019-02-01,2019-02-02,2,2019
0.00013602034822560936,Matara,2019-02-02,2019-02-03,2,2019
0.0001028843263981,Matara,2019-02-03,2019-02-04,2,2019
0.000103548176412,Matara,2019-02-04,2019-02-05,2,2019
8.412867361170815e-05,Matara,2019-02-05,2019-02-06,2,2019
0.00013602034822560936,Matara,2019-02-06,2019-02-07,2,2019
0.0001495798303155,Matara,2019-02-07,2019-02-08,2,2019
0.0002421511611906,Matara,2019-02-08,2019-02-09,2,2019
0.00011703154949893138,Matara,2019-02-09,2019-02-10,2,2019
0.00011703154949893138,Matara,2019-02-10,2019-02-11,2,2019
9.253276543587998e-05,Matara,2019-02-11,2019-02-12,2,2019
0.0001574102690481,Matara,2019-02-12,2019-02-13,2,2019
6.523994226828871e-05,Matara,2019-02-13,2019-02-14,2,2019
0.00013602034822560936,Matara,2019-02-14,2019-02-15,2,2019
0.00011703154949893138,Matara,2019-02-15,2019-02-16,2,2019
8.038732615390482e-05,Matara,2019-02-16,2019-02-17,2,2019
0.0005638530012409,Matara,2019-02-17,2019-02-18,2,2019
0.0001293821304845,Matara,2019-02-18,2019-02-19,2,2019
0.0001168615135118,Matara,2019-02-19,2019-02-20,2,2019
8.337509543093406e-05,Matara,2019-02-20,2019-02-21,2,2019
2.514510513135289e-05,Matara,2019-02-21,2019-02-22,2,2019
0.0001425070075459,Matara,2019-02-22,2019-02-23,2,2019
0.0001366694245436,Matara,2019-02-23,2019-02-24,2,2019
0.0001627625602433,Matara,2019-02-24,2019-02-25,2,2019
