,HCHO_reading,Location,Current_date,Next_date,Month,Year
0,0.0001969834395781,Colombo,2019-01-01,2019-01-02,1,2019
1,0.0002625522171968,Colombo,2019-01-02,2019-01-03,1,2019
2,9.852118897938794e-05,Colombo,2019-01-03,2019-01-04,1,2019
3,0.0002099320518114,Colombo,2019-01-04,2019-01-05,1,2019
4,0.0001785337298892,Colombo,2019-01-05,2019-01-06,1,2019
5,0.0001082296700235,Colombo,2019-01-06,2019-01-07,1,2019
6,0.0003926829280477,Colombo,2019-01-07,2019-01-08,1,2019
7,9.153156350685353e-05,Colombo,2019-01-08,2019-01-09,1,2019
8,0.0001205978992853,Colombo,2019-01-09,2019-01-10,1,2019
9,0.0001297723562983,Colombo,2019-01-10,2019-01-11,1,2019
10,0.0002239188166801,Colombo,2019-01-11,2019-01-12,1,2019
11,0.0001569418094178,Colombo,2019-01-12,2019-01-13,1,2019
12,0.00020067234434556963,Colombo,2019-01-13,2019-01-14,1,2019
13,0.0001336291906862,Colombo,2019-01-14,2019-01-15,1,2019
14,6.374417842690063e-05,Colombo,2019-01-15,2019-01-16,1,2019
15,0.0001181062250815,Colombo,2019-01-16,2019-01-17,1,2019
16,0.0002472555222423,Colombo,2019-01-17,2019-01-18,1,2019
17,3.667525352047757e-05,Colombo,2019-01-18,2019-01-19,1,2019
18,0.000405750086815,Colombo,2019-01-19,2019-01-20,1,2019
19,0.0001687856216479,Colombo,2019-01-20,2019-01-21,1,2019
20,0.0003881549328739,Colombo,2019-01-21,2019-01-22,1,2019
21,0.0003282922940445,Colombo,2019-01-22,2019-01-23,1,2019
22,0.0002147798144691,Colombo,2019-01-23,2019-01-24,1,2019
23,0.000234724519641,Colombo,2019-01-24,2019-01-25,1,2019
24,0.0002820915300341,Colombo,2019-01-25,2019-01-26,1,2019
25,0.0002507263493088,Colombo,2019-01-26,2019-01-27,1,2019
26,0.0001973288435314,Colombo,2019-01-27,2019-01-28,1,2019
27,0.0002555121674807,Colombo,2019-01-28,2019-01-29,1,2019
28,0.00020067234434556963,Colombo,2019-01-29,2019-01-30,1,2019
29,0.000171363573601,Colombo,2019-01-30,2019-01-31,1,2019
30,0.0001523802119023,Colombo,2019-01-31,2019-02-01,1,2019
31,0.0003537610010169,Colombo,2019-02-01,2019-02-02,2,2019
32,0.0002755728995643,Colombo,2019-02-02,2019-02-03,2,2019
33,0.0002318846498078,Colombo,2019-02-03,2019-02-04,2,2019
34,0.0002446558971944193,Colombo,2019-02-04,2019-02-05,2,2019
35,0.0003618487680796,Colombo,2019-02-05,2019-02-06,2,2019
36,0.0003430663631539,Colombo,2019-02-06,2019-02-07,2,2019
37,0.0002123314538243,Colombo,2019-02-07,2019-02-08,2,2019
38,0.0001679798012516,Colombo,2019-02-08,2019-02-09,2,2019
39,0.0003816050368887,Colombo,2019-02-09,2019-02-10,2,2019
40,0.0002650819171274,Colombo,2019-02-10,2019-02-11,2,2019
41,0.0001981789630254,Colombo,2019-02-11,2019-02-12,2,2019
42,5.8587178500602015e-05,Colombo,2019-02-12,2019-02-13,2,2019
43,0.0002542805951476,Colombo,2019-02-13,2019-02-14,2,2019
44,0.0002446558971944193,Colombo,2019-02-14,2019-02-15,2,2019
45,0.0002239912172577,Colombo,2019-02-15,2019-02-16,2,2019
46,0.0002091493159849,Colombo,2019-02-16,2019-02-17,2,2019
47,0.0001262731392288,Colombo,2019-02-17,2019-02-18,2,2019
48,0.0002255146318446,Colombo,2019-02-18,2019-02-19,2,2019
49,0.0003180786698506,Colombo,2019-02-19,2019-02-20,2,2019
50,0.0002720768387394,Colombo,2019-02-20,2019-02-21,2,2019
51,0.0002230429464187,Colombo,2019-02-21,2019-02-22,2,2019
52,0.0003148949841717,Colombo,2019-02-22,2019-02-23,2,2019
